Category;Technology;Available;Brand;Model;isOnlineOrder;isSoldByInstalments;Color;Price;Country;Size;Serial
32;ЖК;true;AIWA;32LE5020;false;true;green;49882;Мальтийский орден;medium;tldhcky
32;ЖК;false;AIWA;32LE6020;false;false;pink;44455;Сербия;very big;ntp
32;ЖК;true;AIWA;32LE7011;false;true;red;14635;Сент-Винсент и Гренадины;medium;jkx
32;ЖК;true;AIWA;32LE7020;false;false;brawn;17482;Кения;big;run
32;ЖК;true;AIWA;32LE7021;false;false;brawn;39043;Уругвай;medium;nvkfcg
55;ЖК;true;AIWA;55LE7120;false;true;pink;26994;Бельгия;medium;e
24;ЖК;true;AIWA Trading;24LE3110;true;true;green;13441;Эквадор;very big;cq
24;ЖК;false;AIWA Trading;24LE6110;true;true;purple;48762;Тунис;medium;vgmyyieu
32;ЖК;false;AIWA Trading;32LE3010;true;true;green;40259;Бермудские острова;small;gevn
32;ЖК;true;AIWA Trading;32LE3020;false;true;red;44448;Румыния;small;jnbqnocd
32;ЖК;true;AIWA Trading;32LE6110;true;false;yellow;33908;Нагорно-Карабахская Республика;very big;xcj
32;Плазменая панель;false;Akai;32PDP-501P;false;false;blue;12354;Монголия;small;yfwits
32;Плазменая панель;false;Akai;32PDP-503P;true;false;green;21340;Кувейт;big;hs
24;ЖК;false;Akai;LEA-24A08G;true;true;pink;20204;Албания;big;m
24;ЖК;false;Akai;LEA-24A23P;true;false;orange;28267;Эсватини;very big;dlcx
24;ЖК;false;Akai;LEA-24A23Р;false;true;brawn;20729;Кука острова;very big;qjjyc
24;ЖК;true;Akai;LEA-24A64M;false;false;purple;16650;Острова Питкэрн;small;xbapp
24;ЖК;true;Akai;LEA-24C05P;true;true;yellow;23315;Папуа - Новая Гвинея;medium;xkuwny
24;ЖК;true;Akai;LEA-24L14G;true;true;yellow;32027;Канарские острова;medium;ilg
24;ЖК;true;Akai;LEA-24N20P;false;false;blue;28436;Северная Македония;very small;biubvxx
24;ЖК;false;Akai;LEA-24S02P;false;true;green;25085;Сеута;small;kxcdpi
24;ЖК;false;Akai;LEA-24V07P;false;false;pink;34179;Восточный Тимор;big;deil
24;ЖК;true;Akai;LEA-24V21М;true;false;red;33208;Мавритания;very small;yrhalf
32;ЖК;false;Akai;LEA-32A08G;false;false;purple;28535;Сен-Бартелеми;small;pvp
32;ЖК;false;Akai;LEA-32B27M;false;false;pink;39069;Кука острова;big;fdkar
32;ЖК;true;Akai;LEA-32C06P;false;false;purple;20349;Узбекистан;medium;vj
32;ЖК;false;Akai;LEA-32L34P;true;true;orange;52064;Государство Ва;small;owhgb
32;ЖК;true;Akai;LEA-32M12G;true;true;green;37415;Венесуэла;very small;rqnxaf
32;ЖК;true;Akai;LEA-32M12M;true;true;yellow;16806;Барбадос;big;lg
32;ЖК;false;Akai;LEA-32M12W;true;false;red;28400;Польша;small;olxf
32;ЖК;true;Akai;LEA-32M19P;false;true;blue;40089;Республика Корея;medium;ditzg
32;ЖК;true;Akai;LEA-32P37P;true;true;white;33599;Лихтенштейн;very small;xhfdzkxy
32;ЖК;false;Akai;LEA-32S02P;false;true;brawn;25258;Сен-Пьер и Микелон;big;kxidtpb
32;ЖК;true;Akai;LEA-32V07P;false;false;yellow;14424;Швейцария;small;htjowwqe
32;ЖК;false;Akai;LEA-32V24P;true;false;yellow;38646;Гуам;small;gtjhoh
32;ЖК;false;Akai;LEA-32С25М;true;false;pink;52033;Новая Зеландия;very big;sdhtecxj
55;ЖК;false;Akai;LEA-55B57P;true;false;yellow;15043;Мозамбик;very big;fmdaee
55;ЖК;false;Akai;LEA-55V36M;false;true;blue;37709;Фолклендские острова;small;izeeat
55;ЖК;false;Akai;LEA-55V59P;true;true;yellow;38613;Ирак;very big;dx
24;ЖК;false;Akai;LEC-24S02P;false;false;white;16159;Оман;big;pnaeuu
32;ЖК;true;Akai;LES-32A64M;false;false;brawn;27793;Греция;medium;u
32;ЖК;true;Akai;LES-32A65W;true;false;black;25679;Федеративные Штаты Микронезии;big;w
32;ЖК;false;Akai;LES-32D83M;false;false;green;52973;Пуэрто-Рико;big;sulrxed
32;ЖК;true;Akai;LES-32V01M;true;true;red;24987;Британские Виргинские острова;big;wjxqylij
24;ЖК;true;Akai;LTA-24S01P;true;true;green;32530;Канарские острова;medium;s
32;ЖК;false;Akai;LTA-3276P;true;false;black;23860;Гуам;small;rhxyjx
32;ЖК;false;Akai;LTA-3291;false;true;blue;54548;Мавритания;small;gbir
32;ЖК;false;Akai;LTA-3295D;true;true;purple;33368;Гренландия;small;qkz
32;ЖК;false;Akai;LTA-32A901;true;false;orange;28670;Молдавия;very big;ye
32;ЖК;false;Akai;LTA-32B3000;true;true;green;36008;Япония;small;sxeewl
32;ЖК;true;Akai;LTA-32C902;true;false;black;46849;Джибути;small;yhvn
32;ЖК;false;Akai;LTA-32C903;true;false;brawn;11667;Монако;big;vumzuqm
32;ЖК;false;Akai;LTA-32C904;false;true;black;33242;Хорватия;big;h
32;ЖК;false;Akai;LTA-32E18P;false;false;purple;14199;Никарагуа;big;flifp
32;ЖК;false;Akai;LTA-32L09P;true;true;white;47746;Экваториальная Гвинея;big;zrempnng
32;ЖК;true;Akai;LTA-32N551HCP;false;false;brawn;35826;Французская Полинезия;medium;kvggkq
32;ЖК;false;Akai;LTA-32N573HCA;false;true;purple;10522;Камерун;big;doal
32;ЖК;true;Akai;LTA-32N576HCP;false;true;red;25821;Республика Корея;medium;c
32;ЖК;false;Akai;LTA-32N658HCP;true;false;green;30522;Молдавия;medium;o
32;ЖК;false;Akai;LTA-32N680HCP;false;false;red;25870;Люксембург;big;foru
32;ЖК;true;Akai;LTA-32N688HCP;true;true;brawn;38283;Саудовская Аравия;very big;yotyxuec
32;ЖК;true;Akai;LTA-32R5W4HCM;true;false;red;44732;Нигер;very small;vdwkx
24;ЖК;false;Akai;LTC-24S01P;false;false;yellow;45269;Джерси;small;yltrghtd
32;ЖК;true;Akai;LTC-32N680HCP;true;false;green;29367;Гренада;very big;ytepf
32;ЖК;false;Akai;LTC-32R5W4HCP;false;true;red;31053;Канада;very big;si
32;ЖК;true;Akai;LTC-32R5X3HCM;true;true;purple;12679;ДР Конго;small;f
32;ЖК;false;Akai;TVL 327;true;false;pink;14360;Бельгия;very big;vgzydiau
32;ЖК;true;Akira;32LED01T2M;true;true;black;19782;Дания;small;pydy
32;ЖК;true;Akira;32LED38P;true;true;green;23032;Государство Ва;very big;achkjmx
32;ЖК;true;Akira;32LED38T2P;true;true;blue;16121;Приднестровская Молдавская Республика;medium;afqptrkz
32;ЖК;true;Akira;LCT-32CHSTP;false;true;yellow;45153;Таджикистан;small;krxj
32;ЖК;false;Akira;LCT-32HSSTP;true;false;brawn;23107;Камерун;very small;xqftb
32;ЖК;true;Akira;LCT-32K62ST;true;false;green;28773;Азорские острова;very big;lcsuyzr
32;ЖК;true;Akira;LCT-32MT02ST;false;true;orange;11599;Румыния;small;we
32;ЖК;true;Akira;LCT-32MT04ST;false;true;purple;40982;Бенин;small;o
32;ЖК;false;Akira;LCT-32MT05ST;true;false;orange;31384;Виргинские острова США;small;hef
32;ЖК;true;Akira;LCT-32MT08ST;true;false;brawn;45180;Армения;medium;n
32;ЖК;true;Akira;LCT-32PBSTP;false;true;green;31647;Китай;big;vtzb
32;ЖК;true;Akira;LCT-32V82ST;false;true;purple;47261;Замбия;medium;ylqsudl
32;ЖК;false;Akira;LCT-32V88MMP;true;true;green;43708;Федеративные Штаты Микронезии;small;ev
32;ЖК;true;Akira;LCT-32V88ST;true;false;blue;20057;Франция;very small;d
32;Плазменая панель;false;Akira;PLT-32CH218ST;true;true;purple;53843;Гаити;medium;j
24;ЖК;false;AMCV;LE-24ZTH07;true;true;yellow;10041;Соломоновы Острова;medium;wnym
32;ЖК;false;AMCV;LE-32ZTH07;false;false;white;52003;Черногория;small;wui
32;ЖК;false;AMCV;LE-32ZTH11;false;false;pink;16345;Испания;very big;lqnyn
32;ЖК;true;AOC;L32HA91;false;false;pink;23807;Восточный Тимор;small;eragi
32;ЖК;true;AOC;L32W451B;true;false;green;10397;Британские Виргинские острова;small;lgexc
32;ЖК;false;AOC;L32W751A;true;true;black;25139;Ботсвана;very small;josy
32;ЖК;true;AOC;L32W781A;false;true;red;46791;Армения;big;lg
32;ЖК;false;AOC;L32W981;false;true;purple;39350;Либерия;big;c
32;ЖК;true;AOC;L32WA91;true;true;pink;37967;Багамские Острова;big;oneh
32;ЖК;true;AOC;L32WB81;true;false;orange;30899;Донецкая Народная Республика;big;o
32;ЖК;false;AOC;LC32K0D3D;true;true;red;35369;Япония;small;aydsfcy
24;ЖК;false;AOC;LE24K097;true;false;purple;53487;Индия;very small;wlx
32;ЖК;true;AOC;LE32K0D7D;true;false;purple;18162;Руанда;medium;gcf
55;ЖК;true;APEX;55B3000;false;false;orange;44853;Сенегал;medium;gpnkdkk
32;ЖК;true;AquaLite Outdoor;AQLH-32;false;false;red;11915;Германия;very big;phgxmqby
32;ЖК;false;AquaLite Outdoor;AQLS-32;false;true;yellow;9445;Кюрасао;big;yz
32;ЖК;false;AquaLite Outdoor;AQLS-PC32;false;true;blue;40952;ЮАР;medium;zltcb
32;ЖК;false;Aquatelevision;ATV-32D;true;false;red;53784;Гвинея-Бисау;very big;qretd
32;ЖК;false;AquaView;32;true;true;black;15288;Ангилья;very big;uust
32;ЖК;true;AquaView;32 Smart TV;false;false;yellow;18008;Бир-Тавиль;big;tkne
55;ЖК;true;AquaView;55;true;false;black;20769;Суринам;medium;c
55;ЖК;true;AquaView;55 Smart TV;true;true;purple;23078;Коморские Острова;big;oq
32;ЖК;true;AquaView;POD32;false;false;orange;19429;Бермудские острова;very big;u
55;ЖК;true;AquaView;POD55;true;false;pink;14662;Государство Ва;small;hg
24;ЖК;true;Aquavision;AVF 24W-4HD;false;false;orange;48627;Бонэйр;very small;eed
32;ЖК;false;Aquavision;AVF 32 MK3;false;true;red;9300;Грузия;very small;mdrgzjgi
24;ЖК;true;Aragon;TV-2401;true;false;black;49097;Гондурас;medium;cictrc
32;ЖК;true;Aragon;TV-3201;true;false;yellow;11036;Оман;big;rbrqi
32;ЖК;false;Aragon;TV-3202;true;false;orange;37870;Науру;very small;zuae
32;ЖК;true;Aragon;TV-3203;true;true;white;23077;Вануату;medium;inbegg
32;ЖК;false;Aragon;TV-3204;true;false;brawn;11483;Остров Мэн;big;z
32;ЖК;true;Aragon;TV-3205;true;true;orange;38758;Сент-Люсия;big;pke
24;ЖК;true;Artel;24LED9000;false;false;white;42734;Сальвадор;medium;enmhhqi
32;ЖК;true;Artel;32AH90G;true;true;pink;31383;Антигуа и Барбуда;big;zuqoyyr
32;ЖК;false;Artel;32AH90G Smart;true;false;orange;37419;Палау;very small;ok
32;ЖК;true;Artel;32LED9000;false;false;orange;24080;Намибия;big;ky
32;ЖК;true;Artel;32LED9000A Smart;true;false;brawn;32871;Новая Зеландия;very small;if
55;ЖК;false;Artel;55LED9000C;false;false;red;14021;Гондурас;medium;pmaovq
24;ЖК;false;Arvin;AEITM24FE;true;true;pink;54728;Бенин;very big;ue
24;ЖК;true;Arvin;AR24LQFW;true;true;purple;52293;Южный Судан;medium;zzmosh
32;ЖК;false;Arvin;AR3201E;true;false;red;21219;Мозамбик;very big;ifibabe
32;ЖК;true;Arvin;AR3212E;true;true;white;36997;Остров Норфолк;very big;ot
32;ЖК;false;Arvin;AR3218EA;true;false;pink;31872;Гвинея-Бисау;small;cpul
32;ЖК;false;Arvin;AR3225A;false;false;white;44404;Танзания;big;duhidad
32;ЖК;true;Arvin;AR3229;false;true;green;17162;Фарерские острова;big;hugbupa
32;ЖК;false;Arvin;AR3288E;true;false;brawn;33747;Гайана;very big;gvbhmgwm
32;ЖК;false;Arvin;AR32LUW;true;false;green;11877;Эквадор;very big;qnujv
32;ЖК;true;Arvin;ELED32JH8A;true;true;green;21841;Фарерские острова;very small;u
32;ЖК;true;Ava;L32A5000H;true;false;white;29130;Папуа - Новая Гвинея;small;ty
32;ЖК;false;AVEL;AVS320FS (Magic Mirror);true;true;purple;53246;Государство Ва;very small;tiveszb
55;ЖК;true;AVEL;AVS5501TM;true;true;brawn;30349;Гонконг;very big;bfuckti
24;ЖК;false;Avest;24;false;false;green;47586;Мальта;very small;wzcixn
32;ЖК;false;Avest;32;false;false;green;23510;ЦАР;big;gzxpee
32;ЖК;true;AVQ;VT32P;true;true;pink;15852;Южный Судан;very small;xgtbf
32;ЖК;true;AVQ;VT32P LED;false;false;green;11555;Намибия;very big;dtru
32;ЖК;false;AVQ;VT32S LED;true;false;black;14962;Китай;medium;gtylc
55;ЖК;false;AVQ;VT55P;false;true;white;22840;Республика Корея;big;ofy
55;ЖК;false;AVQ;VT55P LED;false;false;black;43348;Кука острова;very small;q
55;ЖК;false;AVQ;VT55S LED;true;false;purple;38708;Ниуэ;small;jtg
32;ЭЛТ;false;Bang;& Olufsen AVANT 32DVD;true;true;black;27295;Танзания;very big;jiklzf
32;ЭЛТ;false;Bang;& Olufsen Avant 32RF;true;true;green;42753;Болгария;small;vjw
32;ЖК;false;Bang;& Olufsen BeoPlay V1-32;true;false;blue;16491;Словения;very small;vx
32;ЖК;true;Bang;& Olufsen BeoVision 10-32;true;false;orange;36518;Ливия;very big;ubsv
32;ЭЛТ;false;Bang;& Olufsen BeoVision 3-32;false;false;red;46875;Аруба;very small;kvu
32;ЖК;true;Bang;& Olufsen BeoVision 7-32;false;true;brawn;33721;Ливан;medium;njs
55;ЖК;false;Bang;& Olufsen BeoVision 7-55;true;false;blue;28901;Черногория;medium;t
32;ЖК;true;Bang;& Olufsen BeoVision 8-32;true;false;green;19050;Турецкая Республика Северного Кипра;big;kdtt
32;ЭЛТ;true;Bang;& Olufsen BeoVision Avant 32 VHS;true;false;purple;44914;Британские Виргинские острова;big;lr
55;ЖК;false;Bang & Olufsen;BeoVision 11-55;true;true;black;18456;ОАЭ;big;csgiq
55;ЖК;true;Bang & Olufsen;BeoVision 14-55;false;true;yellow;36742;Мексика;big;xhavnydj
55;ЖК;true;Bang & Olufsen;BeoVision Avant 55;false;true;yellow;41694;Реюньон;very big;lglkjqx
24;ЖК;false;BBK;24LED-4096/FT2C;true;false;blue;21204;Острова Питкэрн;medium;w
24;ЖК;false;BBK;24LED-4097/FT2C;true;true;red;26730;Канарские острова;big;uz
24;ЖК;true;BBK;24LED-6003/FT2C;false;true;brawn;27393;Аргентина;very big;sagnx
24;ЖК;true;BBK;24LED-6003/FT2CK;false;true;white;25781;Таиланд;very big;wbzwqbbq
24;ЖК;true;BBK;24LED-6094/FT2C;true;false;green;15362;Австрия;very big;zqjldgrx
24;ЖК;false;BBK;24LEM-1001;false;true;purple;26868;Индия;big;w
24;ЖК;true;BBK;24LEM-1001/T2C;false;true;brawn;42058;Дания;very big;o
24;ЖК;false;BBK;24LEM-1004/T2;false;false;green;42280;Болгария;big;lwfhu
24;ЖК;false;BBK;24LEM-1004/T2C;false;true;brawn;33808;Тонга;medium;rd
24;ЖК;true;BBK;24LEM-1005/T2C;false;false;brawn;28608;Новая Каледония;big;n
24;ЖК;false;BBK;24LEM-1006/T2C;true;true;red;29645;Иран;small;cdnggf
24;ЖК;true;BBK;24LEM-1009/T2C;true;true;green;30584;Бир-Тавиль;medium;kwkclfr
24;ЖК;true;BBK;24LEM-1010/T2C;true;false;blue;16835;Словения;very small;lukvm
24;ЖК;true;BBK;24LEM-1015/T2C;true;false;orange;31479;Голанские высоты;very big;vapsu
24;ЖК;true;BBK;24LEM-1016/T2C;true;false;brawn;47546;Аруба;small;bnbqhai
24;ЖК;true;BBK;24LEM-1026/FT2C;false;true;brawn;16049;Боливия;small;aghlqhu
24;ЖК;true;BBK;24LEM-1026/T2C;true;false;white;16880;Фиджи;medium;hiw
24;ЖК;true;BBK;24LEM-1027/FT2C;false;false;yellow;38988;Перу;small;ltvcumia
24;ЖК;true;BBK;24LEM-1027/T2C;false;false;pink;48605;Исландия;very big;jpzqvqey
24;ЖК;false;BBK;24LEM-1028/T2C;true;true;purple;26295;Чад;very small;xcjsahom
24;ЖК;false;BBK;24LEM-1037/FT2C;false;false;green;28642;Афганистан;medium;dcesu
24;ЖК;false;BBK;24LEM-1037/T2C;false;false;pink;40308;Антарктида;very big;zkhcmod
24;ЖК;false;BBK;24LEM-5002/FT2C;true;false;black;43723;Израиль;big;ev
24;ЖК;true;BBK;24LEM-5062/FT2CG;true;false;orange;12430;Литва;very big;ca
24;ЖК;true;BBK;24LEM-5093/FT2C;true;true;white;35305;Бруней;medium;rsvfdi
24;ЖК;false;BBK;24LEM-5095/FT2C;true;true;orange;22639;Гернси;medium;urtw
32;ЖК;true;BBK;32LEM-1001/T2C;false;false;black;34370;Монако;big;f
32;ЖК;true;BBK;32LEM-1002/T2C;true;false;yellow;37790;Шпицберген;medium;vfgcxaw
32;ЖК;false;BBK;32LEM-1003/T2C;true;true;green;17954;Теркс и Кайкос;medium;xlk
32;ЖК;true;BBK;32LEM-1005/T2C;false;true;yellow;16463;Гернси;very big;mwpkiv
32;ЖК;true;BBK;32LEM-1006/T2C;false;true;yellow;45230;Ниуэ;very big;jt
32;ЖК;false;BBK;32LEM-1007/T2C;false;false;white;39988;Оман;small;gfnyj
32;ЖК;false;BBK;32LEM-1008/T2C;false;false;black;51736;Приднестровская Молдавская Республика;very big;hz
32;ЖК;false;BBK;32LEM-1009/T2C;false;true;black;35941;Барбадос;very big;bobip
32;ЖК;false;BBK;32LEM-1010/T2C;true;true;purple;32376;Латвия;very small;q
32;ЖК;false;BBK;32LEM-1015/T2C;true;false;purple;20954;Бутан;very big;fbppbdy
32;ЖК;false;BBK;32LEM-1018/T2C;false;false;green;29555;Марокко;medium;iycmq
32;ЖК;true;BBK;32LEM-1019/T2C;false;false;purple;11507;Эритрея;very small;jzw
32;ЖК;true;BBK;32LEM-1023/T2C;false;false;yellow;52877;Каймановы острова;very small;arkmasb
32;ЖК;false;BBK;32LEM-1023/TS2C;false;true;yellow;49126;Эквадор;medium;g
32;ЖК;false;BBK;32LEM-1024/T2C;true;true;yellow;14599;Малайзия;very big;ygw
32;ЖК;false;BBK;32LEM-1024/TS2C;true;true;yellow;23378;Азербайджан;very small;objjv
32;ЖК;false;BBK;32LEM-1026/TS2C;true;true;white;27249;Фарерские острова;very big;rjss
32;ЖК;true;BBK;32LEM-1027/TS2C;false;true;green;50763;Азавад;medium;pqaiorj
32;ЖК;false;BBK;32LEM-1029/TS2C;true;true;green;47283;Латвия;big;i
32;ЖК;false;BBK;32LEM-1031/TS2C;false;false;yellow;20195;Реюньон;very big;pmnrw
32;ЖК;true;BBK;32LEM-1033/TS2C;false;false;purple;39086;Лихтенштейн;big;ehj
32;ЖК;true;BBK;32LEM-1036/TS2C;false;false;black;43879;Доминиканская Республика;big;oq
32;ЖК;true;BBK;32LEM-1037/TS2C;false;false;yellow;12678;Люксембург;small;kufs
32;ЖК;false;BBK;32LEM-1043/TS2C;true;false;white;12952;Фиджи;very small;btte
32;ЖК;true;BBK;32LEM-1045/T2C;true;true;black;34584;Кюрасао;medium;o
32;ЖК;true;BBK;32LEM-1056/TS2C;true;true;purple;16402;Острова Питкэрн;small;euhzh
32;ЖК;false;BBK;32LEM-3002/T2C;false;true;pink;28611;Кувейт;small;hcvji
32;ЖК;false;BBK;32LEM-3025/T2C;false;false;white;29781;Французская Полинезия;very small;nuanpgl
32;ЖК;false;BBK;32LEM-3035/T2C;true;true;green;24205;Парагвай;small;awclne
32;ЖК;false;BBK;32LEM-3070/T2C;false;true;brawn;33037;Тонга;very big;yoyww
32;ЖК;true;BBK;32LEM-3081/T2C;true;false;red;15824;Ниуэ;small;ib
32;ЖК;false;BBK;32LEX-5007/T2C;true;false;red;28151;Азорские острова;very big;q
32;ЖК;true;BBK;32LEX-5009/T2C;false;true;green;21901;Ирак;small;fmdtt
32;ЖК;true;BBK;32LEX-5023/T2C;false;false;white;46686;Парагвай;big;ynwx
32;ЖК;false;BBK;32LEX-5024/T2C;false;true;white;29615;Доминика;medium;pmlgakxs
32;ЖК;false;BBK;32LEX-5025/T2C;true;false;pink;24366;Ниуэ;very big;xaosql
32;ЖК;true;BBK;32LEX-5035/T2C;false;true;brawn;42401;ОАЭ;very big;lxtit
32;ЖК;false;BBK;32LEX-5036/T2C;false;true;red;28484;Зимбабве;big;tyqejmka
32;ЖК;true;BBK;32LEX-5037/T2C;true;true;blue;24988;Гайана;small;fwljkzgy
32;ЖК;true;BBK;32LEX-5038/T2C;true;false;purple;24885;ОАЭ;very big;d
32;ЖК;true;BBK;32LEX-5045/T2C;false;false;pink;22873;Вазиристан;small;zwvnhmm
32;ЖК;false;BBK;32LEX-5048/T2C;true;false;pink;10470;Панама;big;o
32;ЖК;false;BBK;32LEX-7027/T2C;true;false;brawn;39732;Мозамбик;very small;dpupe
55;ЖК;false;BBK;55LEX-5001/FT2C;false;false;white;36344;Эстония;medium;z
55;ЖК;false;BBK;55LEX-5022/FT2C;true;true;blue;21004;Сен-Бартелеми;medium;yhnrp
55;ЖК;false;BBK;55LEX-5027/FT2C;true;false;red;26847;Киргизия;medium;fvgmud
55;ЖК;true;BBK;55LEX-5039/FT2C;true;false;blue;54978;Гайана;very small;z
55;ЖК;true;BBK;55LEX-6042/UTS2C;false;false;brawn;51287;Сингапур;big;rei
24;ЖК;false;BBK;LD2424HDU;false;false;orange;39648;Литва;small;mrpbwcrf
32;ЖК;true;BBK;LD3216DK;true;false;green;32646;Шри-Ланка;medium;lkernq
32;ЖК;false;BBK;LD3224SU;false;true;pink;21980;Киргизия;small;nbxe
24;ЖК;true;BBK;LED2451HD;true;false;red;43661;Бурунди;big;jlehz
24;ЖК;true;BBK;LED2452FDTG;true;true;purple;27307;Мальдивские Острова;big;epgfbazo
24;ЖК;true;BBK;LED2452HD;true;true;green;12254;Китайская Республика;small;ibnnukng
24;ЖК;false;BBK;LED2453FDTW;false;true;brawn;19417;Сирия;small;g
24;ЖК;false;BBK;LED2455F;true;true;black;25247;Андорра;very big;tkpke
24;ЖК;true;BBK;LED2455FDT;false;true;white;18447;Австралия;very big;epkthz
24;ЖК;true;BBK;LED2472FG;false;false;brawn;28998;Джерси;small;ehebikyd
24;ЖК;false;BBK;LED2473FDTG;true;false;brawn;39381;Камерун;very small;ishw
24;ЖК;true;BBK;LED2473FDTW;false;false;brawn;9161;Сент-Винсент и Гренадины;very big;hpcimm
24;ЖК;false;BBK;LED2475F;true;true;red;31799;Бир-Тавиль;very big;aqifuvl
24;ЖК;false;BBK;LED2475FDT;false;true;blue;45660;Литва;big;crjbfsy
24;ЖК;true;BBK;LED2494F;true;false;orange;23018;Сьерра-Леоне;very big;ih
24;ЖК;true;BBK;LEM2438F;false;false;green;25575;Луганская Народная Республика;big;woxqpyrj
24;ЖК;true;BBK;LEM2441FDT;false;true;purple;54851;Бурунди;small;vidndvl
24;ЖК;true;BBK;LEM2449FDT;true;false;black;22657;Словения;big;lm
24;ЖК;true;BBK;LEM2449HD;false;false;red;21498;Германия;big;dqmpz
24;ЖК;true;BBK;LEM2462FDT2G;false;true;purple;37896;Бонэйр;big;q
24;ЖК;true;BBK;LEM2464F;false;true;black;21668;Мексика;very big;ndoil
24;ЖК;true;BBK;LEM2465FDTG;false;false;blue;54901;Мадейра;big;gavkgmec
24;ЖК;true;BBK;LEM2467FDT;false;false;green;46280;Япония;very big;y
24;ЖК;false;BBK;LEM2468FDT;true;false;brawn;50245;Австрия;medium;pegqmnr
24;ЖК;true;BBK;LEM2481F;false;false;brawn;49640;Канада;medium;zmmwozm
24;ЖК;false;BBK;LEM2481FDT;true;false;yellow;11251;Суринам;very big;dsnjm
24;ЖК;true;BBK;LEM2483F;true;true;black;14238;Кука острова;small;op
24;ЖК;true;BBK;LEM2483FDT;false;false;purple;23780;Тувалу;very small;ym
24;ЖК;true;BBK;LEM2484DT2;false;false;pink;38085;Турецкая Республика Северного Кипра;big;uifmd
24;ЖК;false;BBK;LEM2484F;false;false;blue;25833;Вазиристан;very big;is
24;ЖК;true;BBK;LEM2484FDT2;false;true;red;30316;Восточный Тимор;very big;nioxdfze
24;ЖК;true;BBK;LEM2485FDTG;true;false;brawn;31882;Джубаленд;very big;gpqmt
24;ЖК;true;BBK;LEM2487FDT;false;true;black;26441;Япония;small;up
24;ЖК;false;BBK;LEM2488F;false;true;orange;45295;Боливия;very small;pksao
24;ЖК;true;BBK;LEM2488FDT;true;true;white;19562;Луганская Народная Республика;small;btna
24;ЖК;true;BBK;LEM2492F;true;true;purple;10741;Испания;very small;ra
24;ЖК;true;BBK;LEM2493F;false;true;yellow;23688;Вануату;very big;d
24;ЖК;true;BBK;LEM2495F;false;true;black;39090;Испания;small;smxyvk
24;ЖК;false;BBK;LEM2496F;false;true;pink;36110;Египет;medium;crjm
24;ЖК;false;BBK;LEM2497F;true;true;yellow;26102;Макао;very small;lyzjxr
